animal,ar,ID,en
http://quranontology.com/Resource/Acacia,طلح,Acacia,Acacia
http://quranontology.com/Resource/Alfalfa,قضب,Alfalfa,Alfalfa
http://quranontology.com/Resource/Basil,ريحان,Basil,Basil
http://quranontology.com/Resource/Camphor,كافور,Camphor,Camphor
http://quranontology.com/Resource/Crop,زرع,Crop,Crop
http://quranontology.com/Resource/Cucumber,قثاء,Cucumber,Cucumber
http://quranontology.com/Resource/DatePalm,نخلة,DatePalm,DatePalm
http://quranontology.com/Resource/Fig,تين,Fig,Fig -Figs -Figs)
http://quranontology.com/Resource/Garlic,ثوم,Garlic,Garlic
http://quranontology.com/Resource/Ginger,زنجبيل,Ginger,Ginger
http://quranontology.com/Resource/Gourd,يقطين,Gourd,Gourd
http://quranontology.com/Resource/Grape,عنب,Grape,Grape
http://quranontology.com/Resource/Grass,أب,Grass,Grass
http://quranontology.com/Resource/Herb,بقل,Herb,Herb
http://quranontology.com/Resource/Husk,عصف,Husk,Husk
http://quranontology.com/Resource/Leaf,ورقة,Leaf,Leaf-leaves
http://quranontology.com/Resource/Lentil,عدس,Lentil,Lentil
http://quranontology.com/Resource/LoteTree,السدر,LoteTree,Lote Tree
http://quranontology.com/Resource/Mustard_Plant,خردل,Mustard_Plant,Mustard
http://quranontology.com/Resource/Olive,زيتون,Olive,Olive
http://quranontology.com/Resource/Onion,بصل,Onion,Onion
http://quranontology.com/Resource/Pomegranate,رمان,Pomegranate,Pomegranate
http://quranontology.com/Resource/Salvadora_Persica,خمط,Salvadora_Persica,Salvadora
http://quranontology.com/Resource/Tamarix,أثل,Tamarix,Tamarix
http://quranontology.com/Resource/Thorny_plant,ضريع,Thorny_plant,Thorny
http://quranontology.com/Resource/Tree,شجرة,Tree,Tree
http://quranontology.com/Resource/Vegetation,نبات,Vegetation,Vegetation
