hadith_number,similarityvalues,ar_0.9,ar_0.8,ar_0.7,ar_rest
1,"[(1, 1.0, 1.0), (54, 0.93854, 0.96786), (2529, 0.86416, 0.9146), (3898, 0.94642, 0.92801), (5070, 0.94059, 0.91984), (6689, 0.96579, 0.94439), (6953, 0.95757, 0.94031)]","[1, 54, 3898, 5070, 6689, 6953]",[2529],[],[]
2,"[(2, 1.0, 1.0), (3215, 0.95755, 0.84538)]","[2, 3215]",[],[],[]
3,"[(3392, 0.86645, 0.6296), (4953, 0.98997, 0.92251), (4955, 0.79232, 0.7941), (4956, 0.75747, 0.76185), (4957, 0.77139, 0.55015), (6982, 0.98941, 0.93003)]","[4953, 6982]",[3392],"[4955, 4956, 4957]",[]
4,"[(4, 1.0, 1.0), (3238, 0.9212, 0.86462), (4922, 0.82271, 0.74174), (4923, 0.74449, 0.62462), (4924, 0.87561, 0.64185), (4925, 0.93654, 0.85559), (4926, 0.94744, 0.88649), (4954, 0.95455, 0.91651), (4955, 0.79692, 0.63606), (4956, 0.84675, 0.6282), (6214, 0.82472, 0.78928), (6982, 0.8107, 0.6733)]","[4, 3238, 4925, 4926, 4954]","[4922, 4924, 4956, 6214, 6982]","[4923, 4955]",[]
5,"[(5, 1.0, 1.0), (4927, 0.88566, 0.8559), (4928, 0.94141, 0.83102), (4929, 0.94995, 0.89445), (5044, 0.95904, 0.87562), (7524, 0.99194, 0.95806)]","[5, 4928, 4929, 5044, 7524]",[4927],[],[]
6,"[(6, 1.0, 1.0), (1902, 0.94392, 0.88312), (3220, 0.97227, 0.94722), (3554, 0.85534, 0.92978), (4997, 0.8979, 0.92979)]","[6, 1902, 3220]","[3554, 4997]",[],[]
7,"[(7, 1.0, 1.0), (51, 0.81273, 0.50312), (64, 0.75148, 0.59519), (2681, 0.7672, 0.58879), (2804, 0.76038, 0.54659), (2936, 0.71945, 0.49363), (2939, 0.75094, 0.57381), (2941, 0.98061, 0.80646), (2978, 0.76545, 0.66307), (3174, 0.74697, 0.81802), (4424, 0.75751, 0.58817), (4553, 0.98064, 0.78787), (4681, 0.73555, 0.49055), (5980, 0.76447, 0.68012), (6260, 0.76705, 0.77784), (6261, 0.73017, 0.50297), (7196, 0.78736, 0.79571), (7264, 0.74718, 0.57088), (7541, 0.72479, 0.73842)]","[7, 2941, 4553]",[51],"[64, 2681, 2804, 2936, 2939, 2978, 3174, 4424, 4681, 5980, 6260, 6261, 7196, 7264, 7541]",[]
8,"[(8, 1.0, 1.0), (4515, 0.70028, 0.5729)]",[8],[],[4515],[]
9,[],[],[],[],[]
10,"[(10, 1.0, 1.0), (11, 0.79063, 0.763), (6484, 0.81702, 0.99619)]",[10],[6484],[11],[]
11,"[(11, 1.0, 1.0), (6484, 0.8848, 0.76352)]",[11],[6484],[],[]
12,"[(12, 1.0, 1.0), (28, 0.93531, 0.91808), (6236, 0.94029, 0.89762)]","[12, 28, 6236]",[],[],[]
13,[],[],[],[],[]
14,"[(14, 1.0, 1.0), (15, 0.90758, 0.8924)]","[14, 15]",[],[],[]
15,"[(15, 1.0, 1.0)]",[15],[],[],[]
16,"[(16, 1.0, 1.0), (21, 0.95778, 0.95923), (6041, 0.92907, 0.8262), (6941, 0.98782, 0.98065)]","[16, 21, 6041, 6941]",[],[],[]
17,"[(17, 1.0, 1.0), (3783, 0.86441, 0.59222), (3784, 0.95721, 0.92675)]","[17, 3784]",[3783],[],[]
18,"[(18, 1.0, 1.0), (3892, 0.98593, 0.90306), (3893, 0.9118, 0.79392), (3999, 0.76991, 0.74216), (4894, 0.93107, 0.8041), (6784, 0.87339, 0.78727), (6801, 0.96296, 0.82646), (6873, 0.9119, 0.82282), (7055, 0.82595, 0.52183), (7199, 0.75544, 0.62646), (7213, 0.89001, 0.89029), (7468, 0.96965, 0.87127)]","[18, 3892, 3893, 4894, 6801, 6873, 7468]","[6784, 7055, 7213]","[3999, 7199]",[]
